"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"31","63563473556","Gazeta Wyborcza","On: 52 lata, po raku prostaty. Ona: 41 lat. Cel: dwoje dzieci. Szanse: 2 proc. Plan realizowali metodami, które opisuj¹ w swoich poradnikach o osi¹ganiu ¿yciowych sukcesów.

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T11:27:00+0000","link","http://wyborcza.pl/TylkoZdrowie/7,137474,21988707,nieplodnosc-jak-miec-dziecko-gdy-podobno-nie-masz-szans.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007808623557",,106,14,17
"32","63563473556","Gazeta Wyborcza","Powitanie Donalda Trumpa ma byæ mi³e. „¯adnych krzyków przeciwko prezydentowi USA”.","2017-06-23T10:46:43+0000","link","http://wyborcza.pl/7,75398,21998958,pis-sciaga-ludzi-na-wystep-donalda-trumpa.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007836388557",,92,153,153
"33","63563473556","Gazeta Wyborcza","Mapy zmian demograficznych. Dodanie spadków ludnoœci rok po roku obna¿a powa¿ny problem wielu miast.

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T09:59:00+0000","link","http://biqdata.wyborcza.pl/gdzie-nas-przybylo-a-gdzie-ubylo-czyli-polaryzacja-postepuje-mapy-polskich-gimn?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007689868557",,27,4,10
"34","63563473556","Gazeta Wyborcza","Tomasz Bielecki o kulisach szczytu w Brukseli.","2017-06-23T09:14:05+0000","link","http://wyborcza.pl/7,75399,21997679,szczyt-ue-nie-chce-rozmawiac-o-brexicie-may-zbyta-milczeniem.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007707973557",,59,6,7
"35","63563473556","Gazeta Wyborcza","- „Wiadomoœci” TVP i komentatorzy mediów Karnowskich s³owa Micha³a Tuska bêd¹ przytaczaæ setki razy - przewiduje Jakub Majmurek.

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T08:29:00+0000","link","http://wyborcza.pl/7,75968,21996636,komisje-sledcze-swiata-nie-naprawia-polityka-reality-show.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007631428557",,19,27,2
"36","63563473556","Gazeta Wyborcza","Ta historia brzmi, jakby by³¹ ¿ywcem wyjêta z teatru absurdu albo powieœci Bu³hakowa.

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T07:44:00+0000","link","http://wyborcza.pl/7,112395,21992814,rosyjska-prokuratura-i-teatr-widmo-sad-twierdzi-ze-najwieksza.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007531018557",,13,2,4
"37","63563473556","Gazeta Wyborcza","Timothy Garton Ash: W pierwsz¹ rocznicê referendum widzê mój kraj pogr¹¿ony w chaosie. Ze smutkiem s³ucha³em królowej, któr¹ podziwiam, a która musia³a odczytywaæ zwodnicze obietnice rz¹du: „brexit bêdzie sukcesem”... Nieszczêsny kraj!","2017-06-23T07:02:38+0000","link","http://wyborcza.pl/7,75968,21996813,chaos-zamet-i-smutna-krolowa-w-pierwsza-rocznice-brexitu.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007491548557",,41,5,8
"38","63563473556","Gazeta Wyborcza","Dobra wiadomoœæ dla kierowców!

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T06:19:00+0000","link","http://wyborcza.pl/7,155287,21995518,tanie-tankowanie-na-wakacje-ceny-nizsze-niz-rok-temu.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007380043557",,22,3,4
"39","63563473556","Gazeta Wyborcza","""Wyborcza"" ujawnia nagranie. 27 lipca 2012 r., gdy jest ju¿ g³oœno w mediach o aferze firmy Amber Gold, do prezesa Marcina Plichty dzwoni Micha³ Lisiecki, w³aœciciel ""Wprost""...

 — Products shown: Kwartalny Pakiet Wyborcza and Kwartalny Pakiet Wyborcza Premium.","2017-06-23T05:11:54+0000","link","http://wyborcza.pl/7,75398,21996629,operacja-mlody-tusk-jak-wprost-wspieral-amber-gold.html#BoxGWImg?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007234473557",,346,27,165
"40","63563473556","Gazeta Wyborcza","Mamy dla Was sporo pomys³ów na dzieñ z ojcem!","2017-06-23T04:35:00+0000","link","http://cojestgrane24.wyborcza.pl/cjg24/1,13,21990245,147812,Dzien-Ojca--Podpowiadamy--jak-uczcic-to-swieto--PO.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155005105423557",,6,0,1
